date,zone,latitude,longitude,traffic_count,weather,temperature,air_quality
2025-01-01,Abidjan,5.359951,-4.008256,980,Clear,8,42
2025-01-02,Abidjan,5.359951,-4.008256,1120,Cloudy,7,45
2025-01-03,Abidjan,5.359951,-4.008256,1190,Rain,6,51
2025-01-04,Abidjan,5.359951,-4.008256,870,Clear,9,39
2025-01-05,Abidjan,5.359951,-4.008256,820,Clear,10,37
2025-01-06,Abidjan,5.359951,-4.008256,1350,Rain,5,58
2025-01-07,Abidjan,5.359951,-4.008256,1420,Rain,4,63
2025-01-08,Abidjan,5.359951,-4.008256,1280,Cloudy,6,55
2025-01-09,Abidjan,5.359951,-4.008256,1160,Clear,9,44
2025-01-10,Abidjan,5.359951,-4.008256,1210,Cloudy,8,47
2025-01-11,Abidjan,5.359951,-4.008256,900,Clear,11,38
2025-01-12,Abidjan,5.359951,-4.008256,850,Clear,12,35
2025-01-13,Abidjan,5.359951,-4.008256,1460,Rain,5,67
2025-01-14,Abidjan,5.359951,-4.008256,1390,Rain,6,61
