date,zone,traffic_count,weather,temperature,air_quality
2025-01-01,Paris Centre,980,Clear,8,42
2025-01-02,Paris Centre,1120,Cloudy,7,45
2025-01-03,Paris Centre,1190,Rain,6,51
2025-01-04,Paris Centre,870,Clear,9,39
2025-01-05,Paris Centre,820,Clear,10,37
2025-01-06,Paris Centre,1350,Rain,5,58
2025-01-07,Paris Centre,1420,Rain,4,63
2025-01-08,Paris Centre,1280,Cloudy,6,55
2025-01-09,Paris Centre,1160,Clear,9,44
2025-01-10,Paris Centre,1210,Cloudy,8,47
2025-01-11,Paris Centre,900,Clear,11,38
2025-01-12,Paris Centre,850,Clear,12,35
2025-01-13,Paris Centre,1460,Rain,5,67
2025-01-14,Paris Centre,1390,Rain,6,61
